Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
Hess,Hess Foundation,"50,000.00",2012,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
Hess,Hess Foundation,"90,000.00",2012,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
Hess,Hess Foundation Inc,"410,000.00",2012,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
Hess,Hess Foundation Inc,"50,000.00",2012,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
Hess,Hess Foundation Inc,"90,000.00",2012,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2013_10_PF%2F22-1713046_990PF_201211,
Hess,Hess Foundation,"615,000.00",2013,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/2014_09_PF%2F22-1713046_990PF_201311,
Hess,Hess Foundation Inc,"400,000.00",2013,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2014_09_PF%2F22-1713046_990PF_201311,
Hess,Hess Foundation,"15,000.00",2014,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/201512869349100401/full,
Hess,Hess Foundation Inc,"600,000.00",2014,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/2016_01_PF%2F22-1713046_990PF_201411,
Hess,Hess Foundation,"2,050,000.00",2015,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/201622529349100752/full,
Hess,Hess Foundation Inc,"912,500.00",2015,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/01_2017_prefixes_20-23%2F221713046_201511_990PF_2017010514059728,
Hess,Hess Foundation Inc,"100,000.00",2016,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/IRS%2F221713046_201611_990PF_2017102514886168,
Hess,Hess Foundation,"10,000.00",2016,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/IRS%2F221713046_201611_990PF_2017102514886168,
Hess,Hess Foundation Inc,"100,000.00",2017,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/221713046/201842869349100504/full,
Hess,Hess Foundation,"11,000.00",2017,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/201842869349100504/full,
Hess,Hess Foundation Inc,"60,000.00",2018,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/221713046/201922559349100222/full,
Hess,Hess Foundation,"100,000.00",2018,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/221713046/201922559349100222/full,
Hess,Hess Foundation,"25,000.00",2018,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/201922559349100222/full,
Hess,Hess Foundation,"100,000.00",2019,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/221713046/202012849349100801/full,
Hess,Hess Foundation Inc,"127,500.00",2019,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/221713046/202012849349100801/full,
Hess,Hess Foundation,"75,000.00",2019,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/202012849349100801/full,
Hess,Hess Foundation Inc,"50,000.00",2020,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/221713046/202122879349101687/full,
Hess,Hess Foundation,"100,000.00",2020,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/202122879349101687/full,
Hess,Hess Foundation Inc,"305,000.00",2021,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/221713046/202202889349100610/full,
Hess,Hess Foundation,"100,000.00",2021,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/organizations/221713046/202202889349100610/full,
Hess,Hess Foundation Inc,"450,000.00",2022,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/221713046/download990pdf_10_2023_prefixes_20-22%2F221713046_202211_990PF_2023102721798261,
Hess,Hess Foundation Inc,"25,000.00",2022,,Mailman School of Public Health,,https://projects.propublica.org/nonprofits/display_990/221713046/download990pdf_10_2023_prefixes_20-22%2F221713046_202211_990PF_2023102721798261,
